OGID	OG_Merge_Status	phyloOGID(s)	synteOGID(s)	paternalDiploid	tetraploid	maternalDiploid	numSeqs_paternalDiploid	numSeqs_tetraploid	numSeqs_maternalDiploid	numSeqs_total	numSpecies	Assignment_Genome	Targeting	CyMIRA_interaction	CyMIRA_subInteraction	PHY_taxon_composition	PHY_top	PHY_BS_support	PHY_paternal_homeolog_in_tet	PHY_maternal_homeolog_in_tet
OG1594	Overlapping	OG0012764.0	OG0002421	Csuecicum_BBB04502	"AUR62032251,AUR62011935"	Cpallidicaule_CP002622	1	2	1	4	3	maternalDiploid	Not-organelle-targeted	N/A	N/A	QUARTET	PASSED	100	AUR62032251	AUR62011935
OG1595	Overlapping	OG0012766.0	OG0002425	Csuecicum_BBB04505	"AUR62032255,AUR62011940"	Cpallidicaule_CP002617	1	2	1	4	3	maternalDiploid	Not-organelle-targeted	N/A	N/A	QUARTET	PASSED	100	AUR62032255	AUR62011940
OG1596	Identical	OG0012767.0	OG0011722	Csuecicum_BBB04513	AUR62032264	Cpallidicaule_CP002607	1	1	1	3	3	maternalDiploid	Dual-targeted_Non-interacting	No	N/A	NA	NA	NA	NA	NA
OG1597	Overlapping	OG0012769.0	OG0002288	Csuecicum_BBB03841	"AUR62032287,AUR62011977"	Cpallidicaule_CP002586	1	2	1	4	3	maternalDiploid	Not-organelle-targeted	N/A	N/A	QUARTET	PASSED	100	AUR62032287	AUR62011977
OG1598	Overlapping	OG0012770.0	OG0002283	Csuecicum_BBB03834	"AUR62032282,AUR62011970"	Cpallidicaule_CP002592	1	2	1	4	3	maternalDiploid	Dual-targeted_Non-interacting	No	N/A	QUARTET	PASSED	100	AUR62032282	AUR62011970
OG1599	Overlapping	"OG0012771.0,OG0002783.0"	OG0000725	"Csuecicum_BBB03840,Csuecicum_BBB03838,Csuecicum_BBB03839"	"AUR62032286,AUR62011976,AUR62032285"	"Cpallidicaule_CP002587,Cpallidicaule_CP002588"	3	3	2	8	3	maternalDiploid	Not-organelle-targeted	N/A	N/A	NA	NA	NA	NA	NA
OG1600	Overlapping	OG0012772.0	OG0002296	Csuecicum_BBB03861	"AUR62032308,AUR62011989"	Cpallidicaule_CP002572	1	2	1	4	3	maternalDiploid	Not-organelle-targeted	N/A	N/A	QUARTET	PASSED	100	AUR62032308	AUR62011989
OG1601	Overlapping	"OG0012773.0,OG0006891.0,OG0012774.0"	OG0000091	"Csuecicum_BBB03859,Csuecicum_BBB03851,Csuecicum_BBB03855,Csuecicum_BBB03858,Csuecicum_BBB03854,Csuecicum_BBB03856,Csuecicum_BBB03857"	"AUR62032305,AUR62011987,AUR62032298,AUR62032302,AUR62032303,AUR62032304"	"Cpallidicaule_CP002573,Cpallidicaule_CP002575,Cpallidicaule_CP002574"	7	6	3	16	3	maternalDiploid	Not-organelle-targeted	N/A	N/A	NA	NA	NA	NA	NA
OG1602	Overlapping	OG0012775.0	OG0002294	Csuecicum_BBB03863	"AUR62032310,AUR62011991"	Cpallidicaule_CP002570	1	2	1	4	3	maternalDiploid	Not-organelle-targeted	N/A	N/A	QUARTET	PASSED	100	AUR62032310	AUR62011991
OG1603	Overlapping	"OG0012776.0,OG0006626.0"	"OG0001428,OG0014460"	"Csuecicum_BBB03875,Csuecicum_BBB03876"	"AUR62032321,AUR62028594,AUR62032322"	"Cpallidicaule_CP002559,Cpallidicaule_CP002558"	2	3	2	7	3	maternalDiploid	Not-organelle-targeted	N/A	N/A	NA	NA	NA	NA	NA
OG1604	Overlapping	OG0012777.0	OG0002303	Csuecicum_BBB03871	"AUR62032317,AUR62028590"	Cpallidicaule_CP002564	1	2	1	4	3	maternalDiploid	Mitochondria-targeted_Interacting	mt-PPR	N/A	QUARTET	PASSED	100	AUR62032317	AUR62028590
OG1605	Overlapping	OG0012779.0	OG0004375	Csuecicum_BBB03386	"AUR62033399,AUR62011027"	Cpallidicaule_CP007482	1	2	1	4	3	maternalDiploid	Dual-targeted_Non-interacting	No	N/A	QUARTET	PASSED	100	AUR62033399	AUR62011027
OG1606	Overlapping	OG0012780.0	OG0004379	Csuecicum_BBB03392	"AUR62033406,AUR62011033"	Cpallidicaule_CP007465	1	2	1	4	3	maternalDiploid	Not-organelle-targeted	N/A	N/A	QUARTET	PASSED	100	AUR62033406	AUR62011033
OG1607	Identical	OG0012783.0	OG0014282	Csuecicum_BBB13452	AUR62033414	Cpallidicaule_CP007459	1	1	1	3	3	maternalDiploid	Not-organelle-targeted	N/A	N/A	NA	NA	NA	NA	NA
OG1608	Overlapping	OG0012784.0	OG0004382	Csuecicum_BBB13454	"AUR62033416,AUR62011040"	Cpallidicaule_CP007457	1	2	1	4	3	maternalDiploid	Not-organelle-targeted	N/A	N/A	QUARTET	PASSED	100	AUR62033416	AUR62011040
OG1609	Overlapping	OG0012785.0	OG0004389	Csuecicum_BBB13459	"AUR62033421,AUR62011044"	Cpallidicaule_CP007453	1	2	1	4	3	maternalDiploid	Dual-targeted_Non-interacting	No	N/A	QUARTET	PASSED	100	AUR62033421	AUR62011044
OG1610	Overlapping	OG0012788.0	OG0017296	Csuecicum_BBB05218	AUR62033436	Cpallidicaule_CP007437	1	1	1	3	3	maternalDiploid	Not-organelle-targeted	N/A	N/A	NA	NA	NA	NA	NA
OG1611	Overlapping	OG0012789.0	OG0004409	Csuecicum_BBB05204	"AUR62033456,AUR62011074"	Cpallidicaule_CP007419	1	2	1	4	3	maternalDiploid	Not-organelle-targeted	N/A	N/A	QUARTET	PASSED	100	AUR62033456	AUR62011074
OG1612	Identical	OG0012790.0	OG0014283	Csuecicum_BBB05206	AUR62033453	Cpallidicaule_CP007422	1	1	1	3	3	maternalDiploid	Not-organelle-targeted	N/A	N/A	NA	NA	NA	NA	NA
OG1613	Identical	OG0012792.0	OG0014284	Csuecicum_BBB05200	AUR62033460	Cpallidicaule_CP007415	1	1	1	3	3	maternalDiploid	Not-organelle-targeted	N/A	N/A	NA	NA	NA	NA	NA
OG1614	Identical	OG0012795.0	OG0014285	Csuecicum_BBB11262	AUR62033483	Cpallidicaule_CP007392	1	1	1	3	3	maternalDiploid	Not-organelle-targeted	N/A	N/A	NA	NA	NA	NA	NA
OG1615	Identical	OG0012796.0	OG0014286	Csuecicum_BBB01284	AUR62033489	Cpallidicaule_CP007382	1	1	1	3	3	maternalDiploid	Not-organelle-targeted	N/A	N/A	NA	NA	NA	NA	NA
OG1616	Overlapping	OG0012797.0	OG0004420	Csuecicum_BBB11258	"AUR62033487,AUR62011097"	Cpallidicaule_CP007388	1	2	1	4	3	maternalDiploid	Not-organelle-targeted	N/A	N/A	QUARTET	PASSED	100	AUR62033487	AUR62011097
OG1617	Overlapping	"OG0012798.0,OG0012531.0,OG0001055.0,OG0012799.0"	OG0000100	"Csuecicum_BBB01987,Csuecicum_BBB01984,Csuecicum_BBB01985,Csuecicum_BBB01986"	"AUR62033495,AUR62011117,AUR62013375,AUR62011114,AUR62033492,AUR62011115,AUR62033493,AUR62033494"	"Cpallidicaule_CP007376,Cpallidicaule_CP007377,Cpallidicaule_CP007379,Cpallidicaule_CP007378"	4	8	4	16	3	maternalDiploid	Not-organelle-targeted	N/A	N/A	NA	NA	NA	NA	NA
OG1618	Overlapping	OG0012800.0	OG0016825	Csuecicum_BBB08961	"AUR62037928,AUR62043492"	Cpallidicaule_CP009380	1	2	1	4	3	maternalDiploid	Mitochondria-targeted_Interacting	mt-PPR	N/A	QUARTET	PASSED	100	AUR62037928	AUR62043492
OG1619	Overlapping	"OG0012802.0,OG0006934.0"	OG0000983	"Csuecicum_BBB18119,Csuecicum_BBB16202"	"AUR62037935,AUR62037966,AUR62043084"	"Cpallidicaule_CP009387,Cpallidicaule_CP009374"	2	3	2	7	3	maternalDiploid	Not-organelle-targeted	N/A	N/A	NA	NA	NA	NA	NA
OG1620	Identical	OG0012804.0	OG0013978	Csuecicum_BBB16199	AUR62037969	Cpallidicaule_CP009355	1	1	1	3	3	maternalDiploid	Not-organelle-targeted	N/A	N/A	NA	NA	NA	NA	NA
OG1621	Identical	OG0012805.0	OG0013979	Csuecicum_BBB21153	AUR62037972	Cpallidicaule_CP009405	1	1	1	3	3	maternalDiploid	Not-organelle-targeted	N/A	N/A	NA	NA	NA	NA	NA
OG1622	Overlapping	OG0012807.0	OG0010834	Csuecicum_BBB18529	"AUR62037978,AUR62019714"	Cpallidicaule_CP009395	1	2	1	4	3	maternalDiploid	Not-organelle-targeted	N/A	N/A	QUARTET	PASSED	100	AUR62037978	AUR62019714
OG1623	Overlapping	OG0012808.0	OG0010837	Csuecicum_BBB20338	"AUR62037981,AUR62019711"	Cpallidicaule_CP009399	1	2	1	4	3	maternalDiploid	Not-organelle-targeted	N/A	N/A	QUARTET	PASSED	100	AUR62037981	AUR62019711
OG1624	Overlapping	"OG0012810.0,OG0001887.0,OG0006946.0,OG0002635.0"	OG0000129	"Csuecicum_BBB14690,Csuecicum_BBB14691,Csuecicum_BBB14692,Csuecicum_BBB14689"	"AUR62033510,AUR62028555,AUR62033508,AUR62033509,AUR62028557,AUR62033511,AUR62014299,AUR62028556,AUR62028635,AUR62032369,AUR62041533"	"Cpallidicaule_CP018078,Cpallidicaule_CP018077,Cpallidicaule_CP018079"	4	11	3	18	3	maternalDiploid	Not-organelle-targeted	N/A	N/A	NA	NA	NA	NA	NA
OG1625	Overlapping	OG0012811.0	OG0001701	"Csuecicum_BBB14090,Csuecicum_BBB14089"	"AUR62033516,AUR62028563"	Cpallidicaule_CP018084	2	2	1	5	3	maternalDiploid	Not-organelle-targeted	N/A	N/A	NA	NA	NA	NA	NA
OG1626	Overlapping	OG0012812.0	"OG0007921,OG0015719"	Csuecicum_BBB10022	"AUR62033523,AUR62028569,AUR62033524,AUR62028568"	Cpallidicaule_CP018088	1	4	1	6	3	maternalDiploid	Not-organelle-targeted	N/A	N/A	NA	NA	NA	NA	NA
OG1627	Identical	OG0012815.0	OG0013152	Csuecicum_BBB18621	AUR62033532	Cpallidicaule_CP018107	1	1	1	3	3	maternalDiploid	Not-organelle-targeted	N/A	N/A	NA	NA	NA	NA	NA
OG1628	Identical	OG0012816.0	OG0013154	Csuecicum_BBB18522	AUR62033539	Cpallidicaule_CP018111	1	1	1	3	3	maternalDiploid	Not-organelle-targeted	N/A	N/A	NA	NA	NA	NA	NA
OG1629	Overlapping	OG0012817.0	OG0007945	Csuecicum_BBB07531	"AUR62033587,AUR62037882"	Cpallidicaule_CP018153	1	2	1	4	3	maternalDiploid	Not-organelle-targeted	N/A	N/A	QUARTET	PASSED	100	AUR62037882	AUR62033587
OG1630	Overlapping	OG0012820.0	OG0007948	Csuecicum_BBB16572	"AUR62033598,AUR62037893"	Cpallidicaule_CP018168	1	2	1	4	3	maternalDiploid	Not-organelle-targeted	N/A	N/A	QUARTET	PASSED	100	AUR62037893	AUR62033598
OG1631	Identical	OG0012821.0	OG0013157	Csuecicum_BBB17741	AUR62033597	Cpallidicaule_CP018162	1	1	1	3	3	maternalDiploid	Not-organelle-targeted	N/A	N/A	NA	NA	NA	NA	NA
OG1632	Overlapping	OG0012823.0	OG0010280	Csuecicum_BBB03530	"AUR62021053,AUR62031479"	Cpallidicaule_CP012433	1	2	1	4	3	maternalDiploid	Not-organelle-targeted	N/A	N/A	QUARTET	PASSED	100	AUR62021053	AUR62031479
OG1633	Overlapping	"OG0012824.0,OG0006973.0,OG0012825.0"	OG0000265	"Csuecicum_BBB03545,Csuecicum_BBB03540,Csuecicum_BBB03544,Csuecicum_BBB03543"	"AUR62021070,AUR62021065,AUR62031467,AUR62021069,AUR62021068,AUR62031461,AUR62031462"	"Cpallidicaule_CP012450,Cpallidicaule_CP012448,Cpallidicaule_CP012449"	4	7	3	14	3	maternalDiploid	Not-organelle-targeted	N/A	N/A	NA	NA	NA	NA	NA
OG1634	Identical	OG0012827.0	OG0013740	Csuecicum_BBB03549	AUR62021074	Cpallidicaule_CP012454	1	1	1	3	3	maternalDiploid	Not-organelle-targeted	N/A	N/A	NA	NA	NA	NA	NA
OG1635	Identical	OG0012829.0	OG0013741	Csuecicum_BBB03574	AUR62021101	Cpallidicaule_CP012474	1	1	1	3	3	maternalDiploid	Not-organelle-targeted	N/A	N/A	NA	NA	NA	NA	NA
OG1636	Identical	OG0012831.0	OG0013743	Csuecicum_BBB10523	AUR62021158	Cpallidicaule_CP012541	1	1	1	3	3	maternalDiploid	Not-organelle-targeted	N/A	N/A	NA	NA	NA	NA	NA
OG1637	Overlapping	"OG0012832.0,OG0007011.0"	OG0000964	"Csuecicum_BBB10520,Csuecicum_BBB10521"	"AUR62021155,AUR62015949,AUR62015950,AUR62021156"	Cpallidicaule_CP012539	2	4	1	7	3	maternalDiploid	Not-organelle-targeted	N/A	N/A	NA	NA	NA	NA	NA
OG1638	Overlapping	OG0012834.0	OG0010346	Csuecicum_BBB00193	"AUR62021189,AUR62015981"	Cpallidicaule_CP012573	1	2	1	4	3	maternalDiploid	Not-organelle-targeted	N/A	N/A	QUARTET	PASSED	100	AUR62021189	AUR62015981
OG1639	Identical	OG0012835.0	OG0013746	Csuecicum_BBB00194	AUR62021190	Cpallidicaule_CP012575	1	1	1	3	3	maternalDiploid	Mitochondria-targeted_Interacting	mt-PPR	N/A	NA	NA	NA	NA	NA
OG1640	Overlapping	OG0012837.0	OG0010360	Csuecicum_BBB00213	"AUR62021211,AUR62016003"	Cpallidicaule_CP012598	1	2	1	4	3	maternalDiploid	Not-organelle-targeted	N/A	N/A	QUARTET	PASSED	100	AUR62021211	AUR62016003
OG1641	Overlapping	OG0012838.0	OG0010364	Csuecicum_BBB00217	"AUR62021215,AUR62016008"	Cpallidicaule_CP012603	1	2	1	4	3	maternalDiploid	Not-organelle-targeted	N/A	N/A	QUARTET	PASSED	100	AUR62021215	AUR62016008
OG1642	Overlapping	OG0012839.0	OG0010366	Csuecicum_BBB00221	"AUR62021218,AUR62016011"	Cpallidicaule_CP012607	1	2	1	4	3	maternalDiploid	Not-organelle-targeted	N/A	N/A	QUARTET	PASSED	100	AUR62021218	AUR62016011
OG1643	Overlapping	OG0012840.0	OG0010367	Csuecicum_BBB00222	"AUR62021219,AUR62016012"	Cpallidicaule_CP012608	1	2	1	4	3	maternalDiploid	Not-organelle-targeted	N/A	N/A	QUARTET	PASSED	100	AUR62021219	AUR62016012
OG1644	Overlapping	OG0012841.0	OG0010375	Csuecicum_BBB00233	"AUR62021230,AUR62016025"	Cpallidicaule_CP012626	1	2	1	4	3	maternalDiploid	Not-organelle-targeted	N/A	N/A	QUARTET	PASSED	100	AUR62021230	AUR62016025
OG1645	Overlapping	OG0012844.0	OG0010386	Csuecicum_BBB00248	"AUR62021245,AUR62016039"	Cpallidicaule_CP012640	1	2	1	4	3	maternalDiploid	Dual-targeted_Non-interacting	No	N/A	QUARTET	PASSED	100	AUR62021245	AUR62016039
OG1646	Identical	OG0012845.0	OG0013751	Csuecicum_BBB00240	AUR62021237	Cpallidicaule_CP012633	1	1	1	3	3	maternalDiploid	Not-organelle-targeted	N/A	N/A	NA	NA	NA	NA	NA
OG1647	Overlapping	OG0012846.0	"OG0010385,OG0017052"	"Csuecicum_BBB00246,Csuecicum_BBB00247"	"AUR62021243,AUR62016038,AUR62021244"	Cpallidicaule_CP012639	2	3	1	6	3	maternalDiploid	Not-organelle-targeted	N/A	N/A	NA	NA	NA	NA	NA
OG1648	Identical	OG0012847.0	OG0013752	Csuecicum_BBB00243	AUR62021240	Cpallidicaule_CP012636	1	1	1	3	3	maternalDiploid	Not-organelle-targeted	N/A	N/A	NA	NA	NA	NA	NA
OG1649	Overlapping	OG0012848.0	OG0010398	Csuecicum_BBB00267	"AUR62021267,AUR62016059"	Cpallidicaule_CP012662	1	2	1	4	3	maternalDiploid	Not-organelle-targeted	N/A	N/A	QUARTET	PASSED	100	AUR62021267	AUR62016059
OG1650	Overlapping	OG0012849.0	OG0010399	Csuecicum_BBB00268	"AUR62021268,AUR62016060"	Cpallidicaule_CP012663	1	2	1	4	3	maternalDiploid	Not-organelle-targeted	N/A	N/A	QUARTET	PASSED	-1	AUR62021268	AUR62016060
OG1651	Overlapping	"OG0012850.0,OG0007071.0,OG0012852.0"	OG0000345	"Csuecicum_BBB00281,Csuecicum_BBB00280"	"AUR62021281,AUR62016072,AUR62021280,AUR62016073,AUR62021282"	"Cpallidicaule_CP012675,Cpallidicaule_CP012674,Cpallidicaule_CP012676"	2	5	3	10	3	maternalDiploid	Not-organelle-targeted	N/A	N/A	NA	NA	NA	NA	NA
OG1652	Overlapping	OG0012851.0	OG0010405	Csuecicum_BBB00283	"AUR62021285,AUR62016076"	Cpallidicaule_CP012679	1	2	1	4	3	maternalDiploid	Not-organelle-targeted	N/A	N/A	QUARTET	PASSED	100	AUR62021285	AUR62016076
OG1653	Overlapping	OG0012853.0	OG0010411	Csuecicum_BBB00292	"AUR62021295,AUR62016085"	Cpallidicaule_CP012689	1	2	1	4	3	maternalDiploid	Not-organelle-targeted	N/A	N/A	QUARTET	PASSED	100	AUR62021295	AUR62016085
OG1654	Overlapping	OG0012857.0	OG0010621	Csuecicum_BBB11275	"AUR62031877,AUR62022171"	Cpallidicaule_CP021153	1	2	1	4	3	maternalDiploid	Not-organelle-targeted	N/A	N/A	QUARTET	PASSED	100	AUR62022171	AUR62031877
OG1655	Identical	OG0012858.0	OG0013894	Csuecicum_BBB11279	AUR62031881	Cpallidicaule_CP021149	1	1	1	3	3	maternalDiploid	Not-organelle-targeted	N/A	N/A	NA	NA	NA	NA	NA
OG1656	Identical	OG0012859.0	OG0013874	Csuecicum_BBB18862	AUR62031887	Cpallidicaule_CP021141	1	1	1	3	3	maternalDiploid	Not-organelle-targeted	N/A	N/A	NA	NA	NA	NA	NA
OG1657	Overlapping	OG0012860.0	OG0010605	Csuecicum_BBB19416	"AUR62031915,AUR62022206"	Cpallidicaule_CP021115	1	2	1	4	3	maternalDiploid	Not-organelle-targeted	N/A	N/A	QUARTET	PASSED	99	AUR62022206	AUR62031915
OG1658	Overlapping	OG0012862.0	OG0010575	Csuecicum_BBB18474	"AUR62031978,AUR62022273"	Cpallidicaule_CP021060	1	2	1	4	3	maternalDiploid	Not-organelle-targeted	N/A	N/A	QUARTET	PASSED	100	AUR62022273	AUR62031978
OG1659	Overlapping	OG0012864.0	OG0006207	Csuecicum_BBB04088	"AUR62018618,AUR62007371"	Cpallidicaule_CP000283	1	2	1	4	3	maternalDiploid	Not-organelle-targeted	N/A	N/A	QUARTET	PASSED	100	AUR62018618	AUR62007371
OG1660	Overlapping	OG0012865.0	OG0006203	Csuecicum_BBB04081	"AUR62018612,AUR62007376"	Cpallidicaule_CP000289	1	2	1	4	3	maternalDiploid	Dual-targeted_Non-interacting	No	N/A	QUARTET	PASSED	100	AUR62018612	AUR62007376
OG1661	Overlapping	OG0012866.0	OG0006201	Csuecicum_BBB04087	"AUR62018617,AUR62007372"	Cpallidicaule_CP000284	1	2	1	4	3	maternalDiploid	Dual-targeted_Interacting	"mt-tRNA_Aminoacylation,pt-tRNA_Aminoacylation"	N/A	QUARTET	PASSED	-1	AUR62018617	AUR62007372
OG1662	Overlapping	OG0012868.0	OG0006198	Csuecicum_BBB04096	"AUR62018627,AUR62007361"	Cpallidicaule_CP000274	1	2	1	4	3	maternalDiploid	Not-organelle-targeted	N/A	N/A	QUARTET	PASSED	100	AUR62018627	AUR62007361
OG1663	Overlapping	OG0012869.0	OG0006194	Csuecicum_BBB04092	"AUR62018623,AUR62007366"	Cpallidicaule_CP000278	1	2	1	4	3	maternalDiploid	Plastid-targeted_Non-interacting	No	N/A	QUARTET	PASSED	100	AUR62018623	AUR62007366
OG1664	Overlapping	OG0012870.0	OG0000848	"Csuecicum_BBB04114,Csuecicum_BBB04112,Csuecicum_BBB04113"	"AUR62018649,AUR62018647,AUR62018648"	Cpallidicaule_CP000257	3	3	1	7	3	maternalDiploid	Not-organelle-targeted	N/A	N/A	NA	NA	NA	NA	NA
OG1665	Overlapping	OG0012871.0	OG0006176	Csuecicum_BBB15804	"AUR62018668,AUR62007331"	Cpallidicaule_CP000238	1	2	1	4	3	maternalDiploid	Not-organelle-targeted	N/A	N/A	QUARTET	PASSED	100	AUR62018668	AUR62007331
OG1666	Identical	OG0012872.0	OG0012770	Csuecicum_BBB14546	AUR62018676	Cpallidicaule_CP000232	1	1	1	3	3	maternalDiploid	Not-organelle-targeted	N/A	N/A	NA	NA	NA	NA	NA
OG1667	Overlapping	OG0012873.0	OG0006172	Csuecicum_BBB05271	"AUR62018693,AUR62007312"	Cpallidicaule_CP000220	1	2	1	4	3	maternalDiploid	Not-organelle-targeted	N/A	N/A	QUARTET	PASSED	100	AUR62018693	AUR62007312
OG1668	Overlapping	OG0012874.0	OG0006168	Csuecicum_BBB05272	"AUR62018694,AUR62007310"	Cpallidicaule_CP000218	1	2	1	4	3	maternalDiploid	Not-organelle-targeted	N/A	N/A	QUARTET	PASSED	100	AUR62018694	AUR62007310
OG1669	Overlapping	"OG0012875.0,OG0015110.0"	"OG0002991,OG0015367"	"Csuecicum_BBB05280,Csuecicum_BBB08812"	"AUR62018701,AUR62018984,AUR62027824"	Cpallidicaule_CP014342	2	3	1	6	3	maternalDiploid	Not-organelle-targeted	N/A	N/A	NA	NA	NA	NA	NA
OG1670	Overlapping	OG0012876.0	OG0006166	Csuecicum_BBB05279	"AUR62018700,AUR62007303"	Cpallidicaule_CP000211	1	2	1	4	3	maternalDiploid	Not-organelle-targeted	N/A	N/A	QUARTET	PASSED	100	AUR62007303	AUR62018700
OG1671	Identical	OG0012877.0	OG0012811	Csuecicum_BBB05281	AUR62018702	Cpallidicaule_CP000210	1	1	1	3	3	maternalDiploid	Not-organelle-targeted	N/A	N/A	NA	NA	NA	NA	NA
OG1672	Overlapping	OG0012878.0	OG0006155	Csuecicum_BBB05288	"AUR62018709,AUR62007296"	Cpallidicaule_CP000201	1	2	1	4	3	maternalDiploid	Not-organelle-targeted	N/A	N/A	QUARTET	PASSED	100	AUR62018709	AUR62007296
OG1673	Identical	OG0012879.0	OG0012812	Csuecicum_BBB05298	AUR62018721	Cpallidicaule_CP000190	1	1	1	3	3	maternalDiploid	Not-organelle-targeted	N/A	N/A	NA	NA	NA	NA	NA
OG1674	Identical	OG0012880.0	OG0012813	Csuecicum_BBB05299	AUR62018722	Cpallidicaule_CP000189	1	1	1	3	3	maternalDiploid	Not-organelle-targeted	N/A	N/A	NA	NA	NA	NA	NA
OG1675	Identical	OG0012881.0	OG0012814	Csuecicum_BBB05297	AUR62018720	Cpallidicaule_CP000191	1	1	1	3	3	maternalDiploid	Not-organelle-targeted	N/A	N/A	NA	NA	NA	NA	NA
OG1676	Overlapping	"OG0012882.0,OG0011074.0"	OG0001609	"Csuecicum_BBB09479,Csuecicum_BBB13952"	"AUR62018726,AUR62016599,AUR62007278"	"Cpallidicaule_CP000185,Cpallidicaule_CP000184,Cpallidicaule_CP021429"	2	3	3	8	3	maternalDiploid	Not-organelle-targeted	N/A	N/A	NA	NA	NA	NA	NA
OG1677	Overlapping	OG0012884.0	OG0006139	Csuecicum_BBB09476	"AUR62018729,AUR62007270"	Cpallidicaule_CP000176	1	2	1	4	3	maternalDiploid	Not-organelle-targeted	N/A	N/A	QUARTET	PASSED	100	AUR62018729	AUR62007270
OG1678	Overlapping	OG0012886.0	OG0006133	Csuecicum_BBB07965	"AUR62018746,AUR62007252"	Cpallidicaule_CP000158	1	2	1	4	3	maternalDiploid	Not-organelle-targeted	N/A	N/A	QUARTET	PASSED	100	AUR62018746	AUR62007252
OG1679	Identical	OG0012887.0	OG0012819	Csuecicum_BBB05876	AUR62018778	Cpallidicaule_CP000125	1	1	1	3	3	maternalDiploid	Not-organelle-targeted	N/A	N/A	NA	NA	NA	NA	NA
OG1680	Overlapping	OG0012888.0	OG0006110	Csuecicum_BBB05863	"AUR62018791,AUR62007210"	Cpallidicaule_CP000112	1	2	1	4	3	maternalDiploid	Not-organelle-targeted	N/A	N/A	QUARTET	PASSED	100	AUR62018791	AUR62007210
OG1681	Overlapping	OG0012889.0	OG0006107	Csuecicum_BBB05871	"AUR62018783,AUR62007218"	Cpallidicaule_CP000121	1	2	1	4	3	maternalDiploid	Dual-targeted_Non-interacting	No	N/A	QUARTET	PASSED	100	AUR62018783	AUR62007218
OG1682	Overlapping	OG0012890.0	OG0000830	"Csuecicum_BBB13887,Csuecicum_BBB13888"	"AUR62018808,AUR62007195,AUR62007196,AUR62018807"	Cpallidicaule_CP000094	2	4	1	7	3	maternalDiploid	Not-organelle-targeted	N/A	N/A	NA	NA	NA	NA	NA
OG1683	Overlapping	"OG0012891.0,OG0007214.0"	OG0000829	"Csuecicum_BBB13882,Csuecicum_BBB13881"	"AUR62018813,AUR62007190,AUR62018814"	"Cpallidicaule_CP000089,Cpallidicaule_CP000088"	2	3	2	7	3	maternalDiploid	Not-organelle-targeted	N/A	N/A	NA	NA	NA	NA	NA
OG1684	Overlapping	OG0012892.0	OG0006079	Csuecicum_BBB03708	"AUR62018830,AUR62007175"	Cpallidicaule_CP000074	1	2	1	4	3	maternalDiploid	Not-organelle-targeted	N/A	N/A	QUARTET	PASSED	100	AUR62018830	AUR62007175
OG1685	Identical	OG0012893.0	OG0012804	Csuecicum_BBB03706	AUR62018828	Cpallidicaule_CP000076	1	1	1	3	3	maternalDiploid	Not-organelle-targeted	N/A	N/A	NA	NA	NA	NA	NA
OG1686	Overlapping	"OG0012894.0,OG0007221.0,OG0000006.0,OG0000031.0"	OG0000316	"Csuecicum_BBB13874,Csuecicum_BBB13871,Csuecicum_BBB13872,Csuecicum_BBB17942,Csuecicum_BBB13873"	"AUR62018821,AUR62007180,AUR62018824,AUR62000949,AUR62001170,AUR62002116,AUR62002472,AUR62002500,AUR62004019,AUR62004155,AUR62004156,AUR62005351,AUR62005784,AUR62005807,AUR62005831,AUR62006352,AUR62006429,AUR62007181,AUR62007877,AUR62008603,AUR62009341,AUR62009342,AUR62010632,AUR62010652,AUR62011531,AUR62011532,AUR62012408,AUR62012513,AUR62012866,AUR62012867,AUR62013802,AUR62015136,AUR62015858,AUR62015954,AUR62016807,AUR62017302,AUR62018951,AUR62019020,AUR62019021,AUR62019058,AUR62020412,AUR62021561,AUR62021562,AUR62023634,AUR62025314,AUR62025792,AUR62026655,AUR62029531,AUR62030950,AUR62031103,AUR62031157,AUR62032123,AUR62032132,AUR62032213,AUR62032489,AUR62033068,AUR62033223,AUR62034579,AUR62034708,AUR62035159,AUR62035649,AUR62035783,AUR62035972,AUR62035975,AUR62036045,AUR62036046,AUR62036725,AUR62036733,AUR62036734,AUR62036735,AUR62038241,AUR62038422,AUR62038423,AUR62038924,AUR62039020,AUR62040521,AUR62042216,AUR62042691,AUR62042895,AUR62043229,AUR62044055,AUR62000273,AUR62005066,AUR62005292,AUR62005670,AUR62006345,AUR62006346,AUR62007966,AUR62008490,AUR62008567,AUR62008671,AUR62008672,AUR62009290,AUR62012400,AUR62013228,AUR62014844,AUR62016800,AUR62017385,AUR62018823,AUR62019622,AUR62019746,AUR62020940,AUR62020942,AUR62023653,AUR62026651,AUR62026652,AUR62027786,AUR62027787,AUR62028290,AUR62028297,AUR62029342,AUR62030133,AUR62033000,AUR62034868,AUR62034869,AUR62036807,AUR62037898,AUR62038437,AUR62038468,AUR62039034,AUR62040292,AUR62041086,AUR62041304,AUR62043114,AUR62043967,AUR62044442,AUR62044443,AUR62018822"	"Cpallidicaule_CP017728,Cpallidicaule_CP000079,Cpallidicaule_CP000887,Cpallidicaule_CP013607,Cpallidicaule_CP020500"	5	128	5	138	3	maternalDiploid	Not-organelle-targeted	N/A	N/A	NA	NA	NA	NA	NA
